artist,date,time,city,title,type
洪之光,2019-04-07,14:30,北京,中外歌剧声乐作品赏析音乐会,concert
李向哲,2019-06-21,19:30,北京,不说再见,concert
廖佳琳,2019-08-25,19:30,长春,声动春城,concert
方书剑,2019-10-12,19:30,天津,我的遗愿清单,stage
丁辉,2019-10-07,14:30,上海,暗恋桃花源,stage
金圣权,2019-11-24,19:30,武汉,声入江城,concert
廖佳琳,2019-09-20,19:00,长春,致敬祖国交响演唱会,concert
洪之光,2019-06-18,19:30,太原,高雅艺术进校园,concert
王晰,2019-06-15,19:30,武汉,Cherish珍晰,concert
翟李朔天,2019-07-20,14:30,上海,梵高,stage
金圣权,2019-11-17,-,上海,音浪合伙人盛典,concert
马佳,2019-09-01,19:00,大连,华韵盛典,concert
王凯,2019-04-16,19:30,北京,声入人心巡演,concert
方书剑,2019-09-01,14:30,成都,信,stage
金天泽,2019-08-24,19:30,广州,你眼里的蓝,concert
贾凡,2019-06-14,19:30,成都,你眼里的蓝,concert
高杨,2019-07-27,19:30,广州,长腿叔叔,stage
龚子棋,2019-08-25,19:30,上海,信,stage
余笛,2019-04-22,19:30,上海,亦X不染,concert
黄子弘凡,2019-10-13,14:30,成都,洪之光个人独唱音乐会,concert
方书剑,2019-12-31,19:30,北京,凯旋之夜,concert
周深,2019-12-07,19:30,苏州,C-929星球,concert
马佳,2019-06-02,19:30,上海,声入人心巡演,concert
龚子棋,2019-09-29,19:30,深圳,爱我中华文艺晚会,concert
龚子棋,2019-08-22,19:30,上海,信,stage
金圣权,2019-06-15,19:30,武汉,Cherish珍晰,concert
余笛,2019-01-23,19:00,上海,青春放歌,concert
洪之光,2019-05-22,19:30,厦门,声入人心巡演,concert
金天泽,2019-10-31,19:30,广州,亦X不染,concert
刘彬濠,2019-11-30,14:30,上海,帅小伙的蔬果店,stage
方书剑,2019-09-06,19:30,宁波,我的遗愿清单,stage
方书剑,2019-08-17,19:30,无锡,信,stage
丁辉,2019-09-22,14:30,上海,暗恋桃花源,stage
陆宇鹏,2019-07-18,19:30,上海,梵高,stage
