artist,date,time,city,state,title,type
郑云龙,2019-04-20,14:30,上海,上海,信,stage
方书剑,2019-10-30,14:00,上海,上海,追寻,stage
方书剑,2019-07-17,19:30,上海,上海,梵高,stage
高杨,2019-07-25,19:30,广州,广东,长腿叔叔,stage
丁辉,2019-06-22,14:30,上海,上海,幺幺洞捌,stage
陆宇鹏,2019-11-03,19:30,北京,北京,音乐之声,stage
梁朋杰,2019-12-28,14:30,上海,上海,音乐之声,stage
丁辉,2019-04-20,14:30,上海,上海,暗恋桃花源,stage
丁辉,2019-12-19,19:00,上海,上海,曾经如是,stage
陆宇鹏,2019-10-24,19:30,上海,上海,音乐之声,stage
方书剑,2019-08-22,19:30,上海,上海,信,stage
翟李朔天,2019-04-27,19:30,厦门,福建,深夜食堂,stage
高杨,2019-07-28,14:00,广州,广东,长腿叔叔,stage
方书剑,2019-06-15,19:30,西安,陕西,我的遗愿清单,stage
翟李朔天,2019-07-17,19:30,上海,上海,梵高,stage
丁辉,2019-12-14,19:00,上海,上海,曾经如是,stage
陆宇鹏,2019-07-21,14:30,上海,上海,梵高,stage
丁辉,2019-09-29,19:30,上海,上海,暗恋桃花源,stage
刘彬濠,2019-11-28,19:30,上海,上海,帅小伙的蔬果店,stage
郑云龙,2019-04-21,14:30,上海,上海,信,stage
方书剑,2019-08-23,19:30,杭州,浙江,我的遗愿清单,stage
方书剑,2019-09-21,19:30,福州,福建,我的遗愿清单,stage
丁辉,2019-07-08,19:30,北京,北京,长腿叔叔,stage
丁辉,2019-03-14,19:30,上海,上海,暗恋桃花源,stage
方书剑,2019-04-27,14:30,上海,上海,信,stage
梁朋杰,2019-06-08,14:30,上海,上海,泰爱你,stage
翟李朔天,2019-07-20,19:30,上海,上海,梵高,stage
高杨,2019-06-28,19:30,上海,上海,长腿叔叔,stage
丁辉,2019-10-13,19:30,上海,上海,暗恋桃花源,stage
方书剑,2019-08-25,19:30,上海,上海,信,stage
丁辉,2019-04-18,19:30,上海,上海,暗恋桃花源,stage
高杨,2019-07-06,14:00,北京,北京,长腿叔叔,stage
丁辉,2019-06-15,19:30,上海,上海,幺幺洞捌,stage
方书剑,2019-07-20,19:30,上海,上海,梵高,stage
洪之光,2019-07-03,19:30,洛阳,河南,美丽中国,stage
洪之光,2019-04-28,19:30,北京,北京,美丽中国,stage
刘彬濠,2019-11-30,19:30,上海,上海,帅小伙的蔬果店,stage
方书剑,2019-07-21,19:30,上海,上海,梵高,stage
方书剑,2019-10-29,14:00,上海,上海,追寻,stage
郑云龙,2019-05-04,19:30,上海,上海,漫长的告白,stage
梁朋杰,2019-10-27,19:30,上海,上海,音乐之声,stage
方书剑,2019-05-22,19:30,上海,上海,我的遗愿清单,stage
方书剑,2019-06-08,20:00,长沙,湖南,我的遗愿清单,stage
丁辉,2019-04-19,19:30,上海,上海,暗恋桃花源,stage
方书剑,2019-04-28,19:30,上海,上海,信,stage
陆宇鹏,2019-10-26,14:30,上海,上海,音乐之声,stage
阿云嘎,2019-10-06,14:30,上海,上海,威尼斯商人,stage
梁朋杰,2019-12-24,19:30,上海,上海,音乐之声,stage
高杨,2019-07-27,14:00,广州,广东,长腿叔叔,stage
丁辉,2019-10-13,14:30,上海,上海,暗恋桃花源,stage
翟李朔天,2019-06-09,19:30,上海,上海,泰爱你,stage
郑云龙,2019-04-13,14:30,上海,上海,信,stage
高杨,2019-07-12,19:30,北京,北京,长腿叔叔,stage
阿云嘎,2019-10-06,19:30,上海,上海,威尼斯商人,stage
丁辉,2019-12-09,19:00,上海,上海,曾经如是,stage
郑云龙,2019-03-09,19:30,北京,北京,谋杀歌谣,stage
金圣权,2019-11-30,19:30,上海,上海,帅小伙的蔬果店,stage
丁辉,2019-03-10,14:30,上海,上海,暗恋桃花源,stage
高杨,2019-07-19,19:30,深圳,广东,长腿叔叔,stage
丁辉,2019-06-23,14:30,上海,上海,幺幺洞捌,stage
陆宇鹏,2019-07-12,19:30,上海,上海,梵高,stage
郑云龙,2019-08-09,19:30,上海,上海,漫长的告白,stage
陆宇鹏,2019-11-08,19:30,北京,北京,音乐之声,stage
梁朋杰,2019-11-27,19:30,上海,上海,帅小伙的蔬果店,stage
高杨,2019-11-10,14:00,上海,上海,长腿叔叔,stage
贾凡,2019-10-10,19:30,北京,北京,九九艳阳天,stage
方书剑,2019-05-24,19:30,上海,上海,我的遗愿清单,stage
丁辉,2019-08-24,19:30,杭州,浙江,我的遗愿清单,stage
郑云龙,2019-05-02,19:30,上海,上海,漫长的告白,stage
翟李朔天,2019-03-31,14:00,上海,上海,因味爱，所以爱,stage
丁辉,2019-12-21,19:00,上海,上海,曾经如是,stage
陆宇鹏,2019-10-19,14:30,上海,上海,音乐之声,stage
梁朋杰,2019-11-28,19:30,上海,上海,帅小伙的蔬果店,stage
郑云龙,2019-04-18,19:30,上海,上海,信,stage
翟李朔天,2019-04-26,19:30,厦门,福建,深夜食堂,stage
方书剑,2019-04-14,14:30,上海,上海,信,stage
梁朋杰,2019-11-23,19:30,上海,上海,帅小伙的蔬果店,stage
郑云龙,2019-08-14,19:30,上海,上海,漫长的告白,stage
梁朋杰,2019-12-31,19:30,上海,上海,音乐之声,stage
王凯,2019-12-20,19:00,北京,北京,长征,stage
丁辉,2019-04-21,14:30,上海,上海,暗恋桃花源,stage
贾凡,2019-11-30,19:30,杭州,浙江,九九艳阳天,stage
洪之光,2019-06-10,20:00,海口,海南,美丽中国,stage
方书剑,2019-04-27,19:30,上海,上海,信,stage
高杨,2019-07-20,19:30,深圳,广东,长腿叔叔,stage
陆宇鹏,2019-07-19,19:30,上海,上海,梵高,stage
丁辉,2019-10-29,22:00,乌镇,浙江,幺幺洞捌,stage
郑云龙,2019-10-30,19:30,上海,上海,摇滚年代,stage
丁辉,2019-12-18,19:00,上海,上海,曾经如是,stage
方书剑,2019-04-21,14:30,上海,上海,信,stage
方书剑,2019-09-28,14:00,苏州,江苏,我的遗愿清单,stage
王凯,2019-06-01,15:00,北京,北京,白雪公主,stage
梁朋杰,2019-10-27,14:30,上海,上海,音乐之声,stage
方书剑,2019-07-20,14:30,上海,上海,梵高,stage
丁辉,2019-06-16,14:30,上海,上海,幺幺洞捌,stage
郑云龙,2019-08-11,19:30,上海,上海,漫长的告白,stage
贾凡,2019-10-11,19:30,北京,北京,九九艳阳天,stage
金圣权,2019-11-29,19:30,上海,上海,帅小伙的蔬果店,stage
方书剑,2019-04-25,19:30,上海,上海,信,stage
梁朋杰,2019-12-25,19:30,上海,上海,音乐之声,stage
高杨,2019-07-05,19:30,北京,北京,长腿叔叔,stage
郑云龙,2019-01-16,19:30,上海,上海,谋杀歌谣,stage
丁辉,2019-09-21,14:30,上海,上海,暗恋桃花源,stage
金圣权,2019-11-22,19:30,上海,上海,帅小伙的蔬果店,stage
方书剑,2019-09-28,19:30,苏州,江苏,我的遗愿清单,stage
方书剑,2019-10-02,19:30,上海,上海,春上海1949,stage
方书剑,2019-07-11,19:30,上海,上海,梵高,stage
方书剑,2019-11-03,19:30,武汉,湖北,我的遗愿清单,stage
刘彬濠,2019-12-01,14:30,上海,上海,帅小伙的蔬果店,stage
梁朋杰,2019-12-29,14:30,上海,上海,音乐之声,stage
高杨,2019-06-26,19:30,上海,上海,长腿叔叔,stage
方书剑,2019-08-24,19:30,杭州,浙江,我的遗愿清单,stage
贾凡,2019-12-24,19:30,苏州,江苏,九九艳阳天,stage
陆宇鹏,2019-10-25,19:30,上海,上海,音乐之声,stage
王凯,2019-08-03,19:00,北京,北京,长征,stage
陆宇鹏,2019-11-14,19:30,北京,北京,音乐之声,stage
梁朋杰,2019-11-15,19:30,北京,北京,音乐之声,stage
